year, make, model, trim, mileage, AWD/FWD, price
2015, Ford, Edge, Titanium, 45275, AWD, 22288
2015, Ford, Edge, SEL, Miles, FWD, 17950
2015, Ford, Edge, Sport, 103000, AWD, 18500
2015, Ford, Edge, SEL, 82236, AWD, 15488 
2015, Ford, Edge, Titanium, 49196, FWD, 20198
2015, Ford, Edge, SE, 76823, AWD, 14894
2015, Ford, Edge, SEL, 47158, AWD, 20568
2015, Ford, Edge, SEL, 46589, AWD, 18785
2015, Ford, Edge, SEL, 87592, AWD, 17762
2015, Ford, Edge, Titanium, 52113, AWD, 20877
2015, Ford, Edge, SEL, 66580, AWD, 18372
2015, Ford, Edge, SEL, 79298, AWD, 18993
2015, Ford, Edge, Titanium, 69066, AWD, 20995
2015, Ford, Edge, SEL, 26455, AWD, 23800
2015, Ford, Edge, SEL, 21375, AWD, 23800
2015, Ford, Edge, SEL, 26455, AWD, 23800
2015, Ford, Edge, SEL, 21375, AWD, 23800
2015, Ford, Edge, Titanium, 40290, AWD, 22845
2015, Ford, Edge, SEL, 38611, AWD, 23995
2015, Ford, Edge, SE, 41410, AWD, 18999
2015, Ford, Edge, SE, 15069, FWD, 16795
2015, Ford, Edge, Titanium, 76345, AWD, 22395
2015, Ford, Edge, SEL, 55262, FWD, 
2015, Ford, Edge, SEL, 53755, AWD, 19995 
