,year,make,model,trim,mileage,AWD/FWD,price
0,2015,Ford,Edge,SEL,41000,AWD,14950
1,2015,Ford,Edge,Titanium,41072,AWD,16995
2,2015,Ford,Edge,Sport,41233,FWD,19485
3,2015,Ford,Edge,Sport,38981,FWD,22995
4,2015,Ford,Edge,Sport,41459,FWD,19485
5,2015,Ford,Edge,SEL,41194,AWD,15495
6,2015,Ford,Edge,SEL,121040,AWD,14900
7,2015,Ford,Edge,SEL,107752,AWD,14926
8,2015,Ford,Edge,SE,50435,FWD,12985
9,2015,Ford,Edge,SEL,101290,AWD,15990
10,2015,Ford,Edge,SEL,99369,FWD,15200
11,2015,Ford,Edge,SEL,91581,FWD,15923
12,2015,Ford,Edge,SEL,89125,FWD,14800
13,2015,Ford,Edge,SEL,101029,AWD,14900
14,2015,Ford,Edge,SEL,63153,FWD,14900
15,2015,Ford,Edge,Titanium,45275,AWD,22288
16,2015,Ford,Edge,Titanium,50038,FWD,19100
17,2015,Ford,Edge,SEL,87976,FWD,15990
18,2015,Ford,Edge,Titanium,86380,AWD,18999
19,2015,Ford,Edge,SE,48609,FWD,17999
20,2015,Ford,Edge,Sport,35815,AWD,25900
21,2015,Ford,Edge,SEL,36008,AWD,15399
22,2015,Ford,Edge,SEL,39769,AWD,18900
23,2015,Ford,Edge,SEL,Miles,FWD,17950
24,2015,Ford,Edge,Sport,43700,AWD,23950
25,2015,Ford,Edge,SEL,45417,AWD,19900
26,2015,Ford,Edge,Sport,95583,AWD,20500
27,2015,Ford,Edge,SEL,39512,AWD,19189
28,2015,Ford,Edge,Titanium,42154,AWD,19987
29,2015,Ford,Edge,SEL,36352,AWD,24995
30,2015,Ford,Edge,SEL,42395,AWD,22651
31,2015,Ford,Edge,SEL,42963,AWD,20845
32,2015,Ford,Edge,SE,48615,AWD,15750
33,2015,Ford,Edge,Sport,37919,AWD,21495
34,2015,Ford,Edge,SEL,99966,AWD,14950
35,2015,Ford,Edge,SE,67633,FWD,12190
36,2015,Ford,Edge,Titanium,90094,AWD,16500
37,2015,Ford,Edge,SEL,87205,AWD,14750
38,2015,Ford,Edge,Sport,39085,AWD,20995
39,2015,Ford,Edge,SEL,98620,FWD,14900
40,2015,Ford,Edge,Titanium,97509,AWD,16497
41,2015,Ford,Edge,Titanium,44166,AWD,19430
42,2015,Ford,Edge,SEL,95606,AWD,14842
43,2015,Ford,Edge,SEL,43672,AWD,20900
44,2015,Ford,Edge,SEL,44056,FWD,19500
45,2015,Ford,Edge,Titanium,45352,FWD,21818
46,2015,Ford,Edge,Titanium,44879,AWD,25990
47,2015,Ford,Edge,Titanium,41438,AWD,23507
48,2015,Ford,Edge,SEL,76263,AWD,14985
49,2015,Ford,Edge,SE,89123,AWD,12500
50,2015,Ford,Edge,SEL,95886,FWD,14995
51,2015,Ford,Edge,SEL,44302,FWD,17495
52,2015,Ford,Edge,SEL,99079,AWD,14990
53,2015,Ford,Edge,Sport,103000,AWD,18500
54,2015,Ford,Edge,SEL,72436,FWD,14990
