,0,1,2,3,4,5,6,7
0,2008,Ford,Edge,SEL,AWD,165003,N/A,
1,2010,Ford,Edge,SE,FWD,172076,N/A,
2,2009,Ford,Edge,SE,FWD,163922,N/A,
3,2008,Ford,Edge,Limited,FWD,162254,N/A,
4,2008,Ford,Edge,Limited,AWD,156016,N/A,
5,2008,Ford,Edge,SE,AWD,166976,N/A,
6,2011,Ford,Edge,SE,FWD,188279,N/A,
7,2007,Ford,Edge,SE,FWD,151908,N/A,
8,2007,Ford,Edge,SEL,FWD,159020,N/A,
9,2008,Ford,Edge,Limited,FWD,165112,N/A,
10,2007,Ford,Edge,SEL,FWD,160000,N/A,
11,2009,Ford,Edge,SEL,FWD,176938,N/A,
12,2007,Ford,Edge,SE,FWD,166198,N/A,
13,2007,Ford,Edge,SEL,PLUS,AWD,176706,N/A
14,2007,Ford,Edge,SEL,PLUS,FWD,212925,N/A
15,2007,Ford,Edge,SE,FWD,221125,N/A,
16,2010,Ford,Edge,SEL,FWD,309896,N/A,
17,2009,Ford,Edge,SEL,FWD,103870,N/A,
18,2013,Ford,Edge,SEL,AWD,148638,N/A,
19,2011,Ford,Edge,Limited,AWD,129255,N/A,
20,2011,Ford,Edge,SEL,FWD,133103,N/A,
21,2013,Ford,Edge,Limited,AWD,148619,N/A,
22,2013,Ford,Edge,Limited,FWD,156033,N/A,
23,2008,Ford,Edge,SEL,FWD,140833,N/A,
24,2011,Ford,Edge,SE,FWD,149075,N/A,
25,2013,Ford,Edge,SE,FWD,160658,N/A,
26,2008,Ford,Edge,Limited,AWD,117496,N/A,
27,2008,Ford,Edge,Limited,AWD,127499,N/A,
28,2008,Ford,Edge,SE,FWD,125981,N/A,
29,2008,Ford,Edge,Limited,AWD,116627,N/A,
30,2012,Ford,Edge,Limited,FWD,154122,N/A,
31,2011,Ford,Edge,Sport,FWD,149019,N/A,
32,2007,Ford,Edge,SE,AWD,122727,N/A,
33,2010,Ford,Edge,SEL,FWD,138754,N/A,
34,2009,Ford,Edge,SEL,FWD,156729,N/A,
35,2008,Ford,Edge,Limited,FWD,137246,N/A,
36,2008,Ford,Edge,Limited,AWD,127524,N/A,
37,2012,Ford,Edge,SE,FWD,175500,N/A,
38,2008,Ford,Edge,SEL,AWD,142276,N/A,
39,2012,Ford,Edge,Limited,FWD,177085,N/A,
40,2008,Ford,Edge,SE,FWD,136989,N/A,
41,2008,Ford,Edge,SEL,FWD,149510,N/A,
42,2007,Ford,Edge,SEL,PLUS,FWD,149421,N/A
43,2011,Ford,Edge,Limited,FWD,89205,N/A,
44,2008,Ford,Edge,Limited,AWD,64466,N/A,
45,2013,Ford,Edge,Limited,FWD,103411,N/A,
46,2011,Ford,Edge,Limited,AWD,92905,N/A,
47,2011,Ford,Edge,Limited,AWD,94684,N/A,
48,2010,Ford,Edge,Limited,AWD,78007,N/A,
49,2011,Ford,Edge,Limited,FWD,100985,N/A,
50,2008,Ford,Edge,Limited,FWD,67771,N/A,
51,2010,Ford,Edge,SE,FWD,91086,N/A,
52,2011,Ford,Edge,Limited,FWD,91119,N/A,
53,2013,Ford,Edge,SE,FWD,109134,N/A,
54,2013,Ford,Edge,SEL,AWD,115938,N/A,
55,2013,Ford,Edge,Limited,FWD,120642,N/A,
56,2012,Ford,Edge,Limited,AWD,103269,N/A,
57,2013,Ford,Edge,SEL,AWD,122254,N/A,
58,2010,Ford,Edge,Limited,FWD,111250,N/A,
59,2012,Ford,Edge,Limited,AWD,111196,N/A,
60,2011,Ford,Edge,Limited,AWD,107519,N/A,
61,2009,Ford,Edge,SEL,AWD,95967,N/A,
62,2010,Ford,Edge,SEL,FWD,96351,N/A,
63,2008,Ford,Edge,Limited,AWD,88343,N/A,
64,2009,Ford,Edge,SEL,FWD,98278,N/A,
65,2012,Ford,Edge,118700,N/A,,,
66,2011,Ford,Edge,Limited,FWD,120904,N/A,
67,2010,Ford,Edge,Limited,FWD,113894,N/A,
68,2013,Ford,Edge,SE,AWD,132075,N/A,
69,2010,Ford,Edge,Limited,FWD,120247,N/A,
70,2010,Ford,Edge,Limited,FWD,118597,N/A,
71,2008,Ford,Edge,SE,FWD,107524,N/A,
72,2008,Ford,Edge,SE,FWD,93702,N/A,
73,2016,Ford,Edge,SEL,FWD,80538,N/A,
74,2014,Ford,Edge,SEL,FWD,75908,N/A,
75,2013,Ford,Edge,SEL,FWD,71953,N/A,
76,2013,Ford,Edge,Limited,AWD,60247,N/A,
77,2013,Ford,Edge,SEL,FWD,62126,N/A,
78,2014,Ford,Edge,Limited,AWD,88464,N/A,
79,2013,Ford,Edge,Limited,AWD,66149,N/A,
80,2013,Ford,Edge,SEL,FWD,66571,N/A,
81,2014,Ford,Edge,SE,AWD,78649,N/A,
82,2013,Ford,Edge,SEL,FWD,81791,N/A,
83,2013,Ford,Edge,SEL,FWD,87045,N/A,
84,2012,Ford,Edge,Sport,FWD,78605,N/A,
85,2014,Ford,Edge,Limited,FWD,88965,N/A,
86,2012,Ford,Edge,Sport,AWD,72214,N/A,
87,2014,Ford,Edge,Limited,AWD,87637,N/A,
88,2011,Ford,Edge,SEL,AWD,73901,N/A,
89,2013,Ford,Edge,SE,FWD,75774,N/A,
90,2011,Ford,Edge,SE,FWD,78931,N/A,
91,2013,Ford,Edge,SE,FWD,85499,N/A,
92,2009,Ford,Edge,Limited,FWD,70982,N/A,
93,2012,Ford,Edge,SEL,FWD,88274,N/A,
94,2014,Ford,Edge,SEL,AWD,96401,N/A,
95,2013,Ford,Edge,Limited,AWD,100892,N/A,
96,2013,Ford,Edge,SEL,AWD,89421,N/A,
97,2011,Ford,Edge,SEL,FWD,84709,N/A,
98,2013,Ford,Edge,Limited,AWD,97593,N/A,
99,2012,Ford,Edge,Limited,AWD,96583,N/A,
100,2012,Ford,Edge,Limited,FWD,87383,N/A,
101,2009,Ford,Edge,SE,FWD,83729,N/A,
102,2013,Ford,Edge,Limited,FWD,102864,N/A,
103,2016,Ford,Edge,SEL,AWD,57206,N/A,
104,2016,Ford,Edge,Titanium,AWD,44986,N/A,
105,2013,Ford,Edge,SEL,FWD,53157,N/A,
106,2015,Ford,Edge,SEL,FWD,49619,N/A,
107,2016,Ford,Edge,SE,FWD,56798,N/A,
108,2016,Ford,Edge,SEL,AWD,48045,N/A,
109,2016,Ford,Edge,Sport,AWD,51473,N/A,
110,2014,Ford,Edge,SE,AWD,52079,N/A,
111,2015,Ford,Edge,SEL,AWD,45295,N/A,
112,2015,Ford,Edge,SEL,FWD,64245,N/A,
113,2012,Ford,Edge,Limited,FWD,50014,N/A,
114,2016,Ford,Edge,Titanium,AWD,55767,N/A,
115,2013,Ford,Edge,SE,FWD,44165,N/A,
116,2016,Ford,Edge,SEL,AWD,66171,N/A,
117,2015,Ford,Edge,Titanium,FWD,47903,N/A,
118,2015,Ford,Edge,Sport,FWD,56332,N/A,
119,2016,Ford,Edge,Titanium,AWD,68089,N/A,
120,2014,Ford,Edge,Sport,AWD,53602,N/A,
121,2016,Ford,Edge,SEL,FWD,62499,N/A,
122,2013,Ford,Edge,SEL,FWD,47144,N/A,
123,2016,Ford,Edge,SE,AWD,70173,N/A,
124,2016,Ford,Edge,SEL,AWD,68526,N/A,
